,timestamp,currentLocation,participantId,currentMode,hungerStatus,sleepStatus,apartmentId,availableBalance,jobId,financialStatus,dailyFoodBudget,weeklyExtraBudget
1247741,2022-03-05T07:05:00Z,POINT (-1171.5468915544918 5847.746913512307),539,AtRestaurant,Hungry,Awake,,2368.518606753112,713,Unstable,16,0.0
1247801,2022-03-05T07:05:00Z,POINT (-1975.7446468552218 3375.0682229798913),609,AtRestaurant,Starving,Awake,769.0,2284.5926710984268,23,Stable,12,721.2726852756279
1247835,2022-03-05T07:05:00Z,POINT (-1190.0710982937424 5847.217621758012),648,AtRestaurant,Starving,Awake,1173.0,1909.4756018773708,815,Stable,16,613.1725402244467
1247846,2022-03-05T07:05:00Z,POINT (-3786.363415643111 6364.929301562695),662,AtRecreation,JustAte,Awake,1625.0,2415.262775971763,95,Stable,12,794.1716857596933
1247847,2022-03-05T07:05:00Z,POINT (-4129.8402748128265 7229.468967694097),664,AtRestaurant,Starving,Awake,1679.0,1065.3183782658807,173,Stable,12,309.2716995197256
1247871,2022-03-05T07:05:00Z,POINT (-3793.6079767094525 6376.125255401594),690,AtRecreation,JustAte,Awake,1145.0,1323.1083141554311,1008,Stable,16,291.3917042454763
1247932,2022-03-05T07:05:00Z,POINT (-1608.8037480879966 3868.723465337154),751,AtRestaurant,Starving,Awake,1019.0,2404.137454726249,858,Stable,20,1169.3888031874242
1247985,2022-03-05T07:05:00Z,POINT (-493.29887721671736 3566.118936919736),819,AtRecreation,JustAte,Awake,576.0,1979.720626304601,85,Stable,12,670.6208800942219
1247992,2022-03-05T07:05:00Z,POINT (1421.677548279315 4009.8712844587485),829,AtRestaurant,Starving,Awake,178.0,974.2829161619206,215,Stable,12,249.29334150399995
1248004,2022-03-05T07:05:00Z,POINT (-4140.579553776976 7239.728908336448),842,AtRestaurant,Starving,Awake,,2364.157348785665,337,Unstable,16,0.0
1248152,2022-03-05T07:10:00Z,POINT (964.803039733081 4004.2901967162384),4,AtRecreation,JustAte,Awake,136.0,1335.896057175896,177,Stable,20,1879.2312060931304
1248185,2022-03-05T07:10:00Z,POINT (-3916.213169924404 5965.3824277579615),37,AtRecreation,JustAte,Awake,1080.0,1951.785322032156,367,Stable,12,792.6706060105299
1248204,2022-03-05T07:10:00Z,POINT (1418.593515799094 4015.0897822050456),56,AtRestaurant,Hungry,Awake,44.0,1209.7482807369668,128,Stable,20,659.545326418136
1248221,2022-03-05T07:10:00Z,POINT (486.981392432567 1620.728428320725),73,AtRestaurant,Starving,Awake,73.0,2674.483972199642,50,Stable,16,992.3885632112656
1248227,2022-03-05T07:10:00Z,POINT (-1998.527055669671 3358.1534690592916),79,AtRestaurant,Starving,Awake,764.0,1960.6212731433093,454,Stable,12,774.153963891513
1248236,2022-03-05T07:10:00Z,POINT (-246.53795845952658 5033.960902827477),88,AtRecreation,JustAte,Awake,1163.0,1426.9067102975462,122,Stable,20,468.8869916496056
1248251,2022-03-05T07:10:00Z,POINT (-225.89444822974397 3882.6337780307463),103,AtRecreation,JustAte,Awake,938.0,3722.248310510237,1321,Stable,12,1499.048938882147
1248262,2022-03-05T07:10:00Z,POINT (967.940012822229 3995.6433855087153),114,AtRecreation,JustAte,Awake,148.0,3446.139377103932,158,Stable,16,1330.0197441445096
1248278,2022-03-05T07:10:00Z,POINT (685.5970462343168 4383.077351852047),131,AtRestaurant,Starving,Awake,323.0,1298.5369056000827,328,Stable,20,628.885037525403
1248330,2022-03-05T07:10:00Z,POINT (507.5002810236239 1630.0179015815231),186,AtRestaurant,Starving,Awake,135.0,2745.2058273354232,9,Stable,20,1443.7734890468948
1248333,2022-03-05T07:10:00Z,POINT (1403.0533047062856 4022.380386767348),189,AtRestaurant,Starving,Awake,378.0,4296.304799042462,836,Stable,12,1602.3357867982572
1248387,2022-03-05T07:10:00Z,POINT (1416.7772467963705 3999.945431077654),243,AtRestaurant,Starving,Awake,327.0,1527.7765323111184,145,Stable,20,544.6647519299602
1248390,2022-03-05T07:10:00Z,POINT (953.960394366598 3990.9459229245904),246,AtRecreation,JustAte,Awake,55.0,1277.061102631705,312,Stable,20,456.0454214634983
1248409,2022-03-05T07:10:00Z,POINT (-2002.184451105386 3371.086099277598),267,AtRestaurant,Starving,Awake,,2390.597918196612,975,Unstable,20,0.0
1248468,2022-03-05T07:10:00Z,POINT (-1163.0065539543175 5837.948183867897),329,AtRestaurant,Starving,Awake,994.0,3048.2741762575606,1077,Stable,12,1058.7560697496408
1248477,2022-03-05T07:10:00Z,POINT (-500.75039850832974 3545.1082353608317),338,AtRecreation,JustAte,Awake,491.0,945.3908885587772,526,Stable,20,411.74776478917374
1248503,2022-03-05T07:10:00Z,POINT (-1991.3515815233336 3381.408735371008),365,AtRestaurant,Hungry,Awake,652.0,946.298468837276,429,Stable,16,235.27080222370296
1248507,2022-03-05T07:10:00Z,POINT (-3912.8756215235353 5973.75088398537),369,AtRecreation,JustAte,Awake,1617.0,1249.351998727273,724,Stable,12,449.3093064550556
1248540,2022-03-05T07:10:00Z,POINT (-1612.9184829536073 3862.339671821718),407,AtRestaurant,Hungry,Awake,,2577.4788939145333,1127,Unstable,20,0.0
1248542,2022-03-05T07:10:00Z,POINT (-1997.176384079205 3378.885325507488),409,AtRestaurant,Hungry,Awake,547.0,2366.809535987641,633,Stable,16,644.9551476769856
1248718,2022-03-05T07:10:00Z,POINT (-1974.987363482355 3372.1537343942196),598,AtRestaurant,Starving,Awake,756.0,1323.0069807767916,1241,Stable,12,376.48438652278617
1248745,2022-03-05T07:10:00Z,POINT (-4139.736243367651 7241.5718627246815),631,AtRestaurant,Starving,Awake,1528.0,983.9938263303982,1036,Stable,12,320.594663656152
1248749,2022-03-05T07:10:00Z,POINT (-1622.717694371879 3880.7003008941756),636,AtRecreation,JustAte,Awake,735.0,1313.333569663239,1274,Stable,12,361.34451772345176
1248820,2022-03-05T07:10:00Z,POINT (-503.1485938652604 6310.505318324271),713,AtRestaurant,Starving,Awake,1246.0,2897.7450705187603,1263,Stable,12,799.3536574045465
1248823,2022-03-05T07:10:00Z,POINT (-1166.4639944769247 5843.328977002167),716,AtRestaurant,Starving,Awake,1159.0,2865.2517395101104,1134,Stable,12,773.3162019563598
1248870,2022-03-05T07:10:00Z,POINT (1395.3988008457325 4002.4001741372535),769,AtRestaurant,Starving,Awake,277.0,2764.554983274761,44,Stable,12,816.9317086073236
1248971,2022-03-05T07:10:00Z,POINT (-1524.030117979104 3802.2648011227475),903,AtRecreation,BecameFull,Awake,564.0,1454.1261314042013,200,Stable,12,477.57847741851134
1248979,2022-03-05T07:10:00Z,POINT (1408.9430417971114 4016.855821786154),914,AtRestaurant,Starving,Awake,19.0,2468.7033694007605,233,Stable,16,677.1171391323339
1249048,2022-03-05T07:10:00Z,POINT (-1613.8776459958183 3878.877875983085),987,AtRecreation,JustAte,Awake,621.0,2143.154657169323,121,Stable,12,565.3288779105412
1249049,2022-03-05T07:10:00Z,POINT (-1987.708786165598 3379.1153520385346),988,AtRestaurant,Starving,Awake,722.0,1732.1927345341885,235,Stable,12,366.9481959657016
1249074,2022-03-05T07:15:00Z,POINT (-268.48031774327865 5039.175749577573),2,AtRecreation,BecameFull,Awake,291.0,2477.162535919063,348,Stable,16,971.9582785101024
1249121,2022-03-05T07:15:00Z,POINT (-1166.410407262162 5848.7392990874605),49,AtRestaurant,Starving,Awake,1247.0,4411.778365613118,1024,Stable,12,2048.0249253894594
1249180,2022-03-05T07:15:00Z,POINT (-1170.0353230276291 5838.246829538843),108,AtRestaurant,Starving,Awake,1195.0,1676.6451708668187,784,Stable,12,697.7286890031463
1249182,2022-03-05T07:15:00Z,POINT (-1617.8266422287531 3891.0742816492075),110,AtRecreation,JustAte,Awake,679.0,1998.7164610386376,1035,Stable,12,726.740415061962
1249245,2022-03-05T07:15:00Z,POINT (-235.757482657292 3883.9429919277036),177,AtRecreation,BecameFull,Awake,189.0,2001.765388403348,156,Stable,16,509.6784556499869
1249329,2022-03-05T07:15:00Z,POINT (-258.3705092417862 5020.824611586975),263,AtRecreation,BecameFull,Awake,1390.0,1755.9053905532935,914,Stable,12,613.6606990617668
1249419,2022-03-05T07:15:00Z,POINT (-1615.713388046537 3871.6183190717443),358,AtRestaurant,Starving,Awake,806.0,518.9081924959719,679,Stable,20,319.3978671884739
1249484,2022-03-05T07:15:00Z,POINT (-522.0552064089316 6295.096120972285),429,AtRestaurant,Hungry,Awake,1182.0,4592.300361145675,728,Stable,12,1340.4364575285854
1249511,2022-03-05T07:15:00Z,POINT (-2134.223408927233 4292.056104429657),456,AtRestaurant,Starving,Awake,465.0,1693.3598252766442,662,Stable,20,605.7273627285626
1249518,2022-03-05T07:15:00Z,POINT (-1627.4762830503998 3872.174852648679),463,AtRestaurant,Starving,Awake,453.0,2998.245689742893,588,Stable,16,647.056032678885
1249529,2022-03-05T07:15:00Z,POINT (-2133.4470075025233 4288.392474722425),474,AtRestaurant,Starving,Awake,471.0,3555.554780384476,938,Stable,12,1177.761233646399
1249549,2022-03-05T07:15:00Z,POINT (-2120.456197709248 4293.70188744153),494,AtRestaurant,Starving,Awake,813.0,1938.4828571172168,1283,Stable,12,524.242700819017
1249590,2022-03-05T07:15:00Z,POINT (-1512.1692594026147 3816.638585527363),540,AtRecreation,JustAte,Awake,948.0,1375.60881820203,918,Stable,20,524.8790637455502
1249619,2022-03-05T07:15:00Z,POINT (697.9130923824831 4389.281506824038),575,AtRestaurant,Starving,Awake,,2272.0472464313884,975,Unstable,20,0.0
1249639,2022-03-05T07:15:00Z,POINT (-1191.40057085254 5837.059929972063),597,AtRestaurant,Starving,Awake,997.0,987.7822693222636,873,Stable,16,243.28380769031395
1249678,2022-03-05T07:15:00Z,POINT (-1165.4079939257224 5848.87673273575),643,AtRestaurant,Starving,Awake,,2638.2712319962216,841,Unstable,16,0.0
1249690,2022-03-05T07:15:00Z,POINT (-809.4627079984863 4504.101185692326),658,AtRestaurant,Starving,Awake,,2431.4859425078266,1220,Unstable,20,0.0
1249716,2022-03-05T07:15:00Z,POINT (-3135.9159663206483 6669.150320759729),687,AtRestaurant,Starving,Awake,1027.0,1618.530151469626,868,Stable,20,547.2799532112055
1249754,2022-03-05T07:15:00Z,POINT (-1177.8929471875845 5856.514737175864),725,AtRestaurant,Starving,Awake,1014.0,1391.4314362043883,736,Stable,16,273.3161723332858
1249788,2022-03-05T07:15:00Z,POINT (646.1116864762611 2001.8632351405074),764,AtRestaurant,Starving,Awake,366.0,819.4404174872805,1087,Stable,12,244.7144332087169
1249846,2022-03-05T07:15:00Z,POINT (-3788.995262630618 6372.926971978743),835,AtRecreation,JustAte,Awake,1456.0,1154.0599548273135,1234,Stable,20,778.6359173756833
1249858,2022-03-05T07:15:00Z,POINT (-4141.434603488931 7231.169409555084),850,AtRestaurant,Starving,Awake,1469.0,1226.4026612397786,1051,Stable,16,428.7485804432576
1249896,2022-03-05T07:15:00Z,POINT (-3196.465543604096 6483.756494289958),906,AtRecreation,JustAte,Awake,1230.0,1215.5890979480855,1232,Stable,20,490.089377925288
1249916,2022-03-05T07:15:00Z,POINT (-3895.2462826624987 5974.052796722904),933,AtRecreation,JustAte,Awake,1553.0,1799.8728779127075,432,Stable,12,388.6173579138484
1249920,2022-03-05T07:15:00Z,POINT (-3911.2883509185726 5956.680195761562),937,AtRecreation,JustAte,Awake,1436.0,2324.078590559309,550,Stable,12,627.0200857340219
1249934,2022-03-05T07:15:00Z,POINT (-3144.6208774366164 6657.702372470845),951,AtRestaurant,Starving,Awake,1711.0,1778.976902888848,1180,Stable,20,630.8238892311326
1249990,2022-03-05T07:15:00Z,POINT (-3791.671968784603 6370.750715849501),1007,AtRecreation,JustAte,Awake,1620.0,1428.2785751273095,1226,Stable,20,494.0926199344286
1249991,2022-03-05T07:15:00Z,POINT (-220.76974912375704 3874.0004253483876),1008,AtRecreation,BecameFull,Awake,525.0,3215.959228725219,55,Stable,12,715.720258956662
1250002,2022-03-05T07:20:00Z,POINT (969.3989660587054 4000.4826832669182),8,AtRecreation,JustAte,Awake,321.0,973.2508179601458,20,Stable,20,589.6623449160205
1250026,2022-03-05T07:20:00Z,POINT (-516.5888372347937 6301.265163729057),32,AtRestaurant,Starving,Awake,1146.0,2013.8262676573515,832,Stable,12,808.1535581245878
1250038,2022-03-05T07:20:00Z,POINT (415.3643539853193 1193.9228940993055),44,AtRestaurant,Starving,Awake,,2175.999730839205,289,Unstable,20,0.0
1250091,2022-03-05T07:20:00Z,POINT (413.75051508931284 1198.1278256879918),97,AtRestaurant,Starving,Awake,2.0,2216.236771926453,354,Stable,20,1415.3545175373456
1250147,2022-03-05T07:20:00Z,POINT (755.4959379738591 941.5439456910775),156,AtRecreation,JustAte,Awake,184.0,1363.3325237319573,203,Stable,16,389.9787318772137
1250169,2022-03-05T07:20:00Z,POINT (400.10985915874454 1182.3840871325137),179,AtRestaurant,Hungry,Awake,280.0,2011.337972896015,300,Stable,20,709.746349944444
1250212,2022-03-05T07:20:00Z,POINT (1403.277151002467 4019.244493086811),222,AtRestaurant,Starving,Awake,127.0,1830.3562585985644,250,Stable,16,464.2082315931564
1250237,2022-03-05T07:20:00Z,POINT (621.2383910372893 2005.3346159490147),247,AtRestaurant,Starving,Awake,195.0,997.9658377770334,88,Stable,20,377.1975678824841
1250262,2022-03-05T07:20:00Z,POINT (-219.1825950165314 3890.953420622473),275,AtRecreation,BecameFull,Awake,1153.0,1800.0007774151284,1233,Stable,12,613.5606598057677
1250309,2022-03-05T07:20:00Z,POINT (-1991.7024860262566 3358.4641548025825),325,AtRestaurant,Starving,Awake,729.0,1125.821468796229,617,Stable,16,375.6946163624916
1250328,2022-03-05T07:20:00Z,POINT (-3928.3616534093044 5479.665172563993),344,AtRestaurant,Starving,Awake,1691.0,1435.8156101474506,737,Stable,12,483.6072787061811
1250347,2022-03-05T07:20:00Z,POINT (-3915.832415776193 5975.468362388011),364,AtRecreation,JustAte,Awake,1586.0,1378.3925957550975,931,Stable,12,474.5494634070422
1250367,2022-03-05T07:20:00Z,POINT (-215.5491771559603 3873.815663695728),387,AtRecreation,JustAte,Awake,788.0,923.4455038841631,413,Stable,16,308.3475126570504
1250423,2022-03-05T07:20:00Z,POINT (-3137.786634183368 6680.759569915026),446,AtRestaurant,Starving,Awake,959.0,3734.520674361855,1255,Stable,12,1207.5010054888344
1250426,2022-03-05T07:20:00Z,POINT (-1609.0328426701374 3901.3277539872347),449,AtRecreation,JustAte,Awake,748.0,3011.100432801209,392,Stable,16,664.3593753804021
1250460,2022-03-05T07:20:00Z,POINT (-505.52891929295805 6321.663773512463),483,AtRestaurant,Starving,Awake,989.0,3664.789672406429,1314,Stable,12,1145.7898798100864
1250465,2022-03-05T07:20:00Z,POINT (-1617.5056131942117 3872.1123841372005),488,AtRestaurant,Starving,Awake,700.0,1448.3922190896,425,Stable,20,501.2937913717766
1250482,2022-03-05T07:20:00Z,POINT (-1614.250114264626 3892.3988827167304),505,AtRecreation,JustAte,Awake,1040.0,1181.6634090145965,837,Stable,16,367.5872689505815
1250516,2022-03-05T07:20:00Z,POINT (-499.2136299094281 3542.9427123380356),545,AtRecreation,JustAte,Awake,1260.0,833.5227292861803,819,Stable,16,259.78770490047395
1250552,2022-03-05T07:20:00Z,POINT (-1181.7750974217688 5859.640139233751),589,AtRestaurant,Starving,Awake,,2723.6235640270947,473,Unstable,20,0.0
1250565,2022-03-05T07:20:00Z,POINT (-815.4022228182032 4495.2344918457875),604,AtRestaurant,Starving,Awake,,2660.0932122469503,337,Unstable,20,0.0
1250579,2022-03-05T07:20:00Z,POINT (-1180.5315269413663 5841.29515302532),621,AtRestaurant,Starving,Awake,,2719.347249403456,1293,Unstable,20,0.0
1250594,2022-03-05T07:20:00Z,POINT (759.5948947993564 938.423247083926),638,AtRecreation,BecameFull,Awake,104.0,1335.5316445977166,1095,Stable,12,354.0524698192939
1250595,2022-03-05T07:20:00Z,POINT (-1164.6675396011385 5837.884859847287),639,AtRestaurant,Starving,Awake,,2805.568665614177,337,Unstable,16,0.0
1250601,2022-03-05T07:20:00Z,POINT (-3892.3589279376374 5981.622949175995),646,AtRecreation,JustAte,Awake,1046.0,2073.4262649100183,921,Stable,20,973.2225501610744
1250608,2022-03-05T07:20:00Z,POINT (696.6640318064681 4398.471349320779),654,AtRestaurant,Starving,Awake,1224.0,1227.2137761395295,734,Stable,20,682.0752690589454
1250611,2022-03-05T07:20:00Z,POINT (-499.40094549784646 6304.458980660074),660,AtRestaurant,Hungry,Awake,908.0,1483.7603061558966,729,Stable,16,517.9790866937846
1250617,2022-03-05T07:20:00Z,POINT (-1989.5103923328643 3358.6029258323583),667,AtRestaurant,Starving,Awake,763.0,1018.7373528152956,208,Stable,12,301.7123022217591
1250705,2022-03-05T07:20:00Z,POINT (-3989.2085045226613 6685.80387014007),759,AtRestaurant,Starving,Awake,1431.0,1589.4456840752584,1237,Stable,20,575.5439715278803
1250736,2022-03-05T07:20:00Z,POINT (1403.5155014321715 4004.167163014693),800,AtRestaurant,Starving,Awake,132.0,2387.802794496902,35,Stable,12,760.2886246322543
1250747,2022-03-05T07:20:00Z,POINT (-1993.3859674546604 3355.9725943909716),813,AtRestaurant,Starving,Awake,627.0,670.1658480665791,1291,Stable,16,190.6634229930725
1250775,2022-03-05T07:20:00Z,POINT (-4137.022665588195 7249.366066007928),848,AtRestaurant,Starving,Awake,1432.0,1894.346032934042,1189,Stable,16,622.636887907931
1250818,2022-03-05T07:20:00Z,POINT (-3922.953989086514 5506.797625100348),912,AtRestaurant,Starving,Awake,1379.0,1008.1767013939576,1310,Stable,20,631.6700108744336
1250819,2022-03-05T07:20:00Z,POINT (-1168.2754404952693 5852.534163379864),913,AtRestaurant,Starving,Awake,922.0,1342.748265637479,127,Stable,12,460.8426841340092
1250906,2022-03-05T07:20:00Z,POINT (-1616.0527729240605 3897.5800062423423),1004,AtRecreation,JustAte,Awake,460.0,1905.3416638799888,87,Stable,12,383.62926713774567
1250980,2022-03-05T07:25:00Z,POINT (483.7442885512845 1625.5443007455372),68,AtRestaurant,Starving,Awake,109.0,1529.9098124939978,161,Stable,16,550.0365778068815
1250992,2022-03-05T07:25:00Z,POINT (1814.3614315079267 4325.073774393334),80,AtRecreation,JustAte,Awake,28.0,1323.8629637947545,358,Stable,16,496.36141659260977
1251013,2022-03-05T07:25:00Z,POINT (-3922.479001520362 5505.255754366584),101,AtRestaurant,Starving,Awake,1591.0,1848.583335894355,420,Stable,12,723.3176092963765
1251025,2022-03-05T07:25:00Z,POINT (965.2537585336657 4002.915429775012),113,AtRecreation,JustAte,Awake,64.0,2095.641479299766,344,Stable,20,1432.2372972636035
1251030,2022-03-05T07:25:00Z,POINT (-504.08289718198495 3566.513180523261),118,AtRecreation,BecameFull,Awake,794.0,3243.434952172322,1174,Stable,12,1425.466611184993
1251036,2022-03-05T07:25:00Z,POINT (-3901.6505772199794 5957.54124976878),124,AtRecreation,BecameFull,Awake,1733.0,4437.851543817354,461,Stable,12,1868.226424860065
1251059,2022-03-05T07:25:00Z,POINT (-1176.3237713979493 5849.752877459848),149,AtRestaurant,Starving,Awake,924.0,1873.2029712652316,72,Stable,20,592.2135001220677
1251148,2022-03-05T07:25:00Z,POINT (1394.3453663639552 3996.0140950841815),240,AtRestaurant,Starving,Awake,125.0,2945.593366272437,243,Stable,16,920.568040209458
1251184,2022-03-05T07:25:00Z,POINT (-2003.7161526322168 3370.342798943477),279,AtRestaurant,Hungry,Awake,,2167.952869297757,770,Unstable,20,0.0
1251234,2022-03-05T07:25:00Z,POINT (-3214.5213333577203 6477.375771629272),332,AtRecreation,JustAte,Awake,1006.0,2529.033933514753,1041,Stable,12,990.4482335725388
1251238,2022-03-05T07:25:00Z,POINT (-1984.7193879076058 3382.1083586420864),336,AtRestaurant,Starving,Awake,468.0,3437.261873645152,374,Stable,16,990.5318326900776
1251255,2022-03-05T07:25:00Z,POINT (-1996.8996957990737 3355.333852248531),353,AtRestaurant,Starving,Awake,776.0,748.4031929070348,379,Stable,16,221.8077007692356
1251300,2022-03-05T07:25:00Z,POINT (-1976.0283197817703 3380.19896165095),403,AtRestaurant,Starving,Awake,603.0,1944.3971900969125,329,Stable,20,890.6412647560352
1251319,2022-03-05T07:25:00Z,POINT (-1617.312102022179 3866.7419116578817),424,AtRestaurant,Hungry,Awake,527.0,1069.2255353073554,421,Stable,20,393.76010087365137
1251328,2022-03-05T07:25:00Z,POINT (-1166.589015693666 5850.441377894481),433,AtRestaurant,Starving,Awake,1189.0,3235.7893970434898,109,Stable,12,1017.4189654878808
1251329,2022-03-05T07:25:00Z,POINT (-1995.3099635715557 3359.0897148286376),434,AtRestaurant,Hungry,Awake,747.0,2859.3947837805767,664,Stable,16,856.2247654325374
1251396,2022-03-05T07:25:00Z,POINT (-1519.3702437168022 3807.221615008737),501,AtRecreation,JustAte,Awake,715.0,2235.669444091376,458,Stable,20,868.7484961519456
1251464,2022-03-05T07:25:00Z,POINT (-1173.7212866401296 5861.520585508014),583,AtRestaurant,Starving,Awake,958.0,2589.2184317293554,982,Stable,16,760.7894815220633
1251505,2022-03-05T07:25:00Z,POINT (-1986.2292994009279 3369.603790818311),633,AtRestaurant,Starving,Awake,479.0,2977.8802794538724,1025,Stable,12,890.9883420791089
1251508,2022-03-05T07:25:00Z,POINT (-512.8731437600177 6318.058171772765),637,AtRestaurant,Starving,Awake,1055.0,1788.9057342438302,863,Stable,16,608.2724966611909
1251584,2022-03-05T07:25:00Z,POINT (-239.51574722269436 3876.7082822280845),722,AtRecreation,JustAte,Awake,969.0,1422.103423057139,894,Stable,16,279.0188663091513
1251593,2022-03-05T07:25:00Z,POINT (-3537.015136758075 4797.938924018544),731,AtRestaurant,Starving,Awake,1096.0,2562.520298421376,903,Stable,16,656.6637405798192
1251629,2022-03-05T07:25:00Z,POINT (-3918.4382288491624 5485.697230133751),773,AtRestaurant,Hungry,Awake,,2256.773810213701,1229,Unstable,16,0.0
1251630,2022-03-05T07:25:00Z,POINT (-3127.3538211070695 6657.423144328702),774,AtRestaurant,Starving,Awake,,2736.5211093139283,1132,Unstable,20,0.0
1251642,2022-03-05T07:25:00Z,POINT (-4145.502974417986 7244.462962984166),788,AtRestaurant,Starving,Awake,1606.0,756.6673779122405,1104,Stable,16,201.47526771527484
1251659,2022-03-05T07:25:00Z,POINT (-1993.374103601049 3375.811256670285),811,AtRestaurant,Starving,Awake,486.0,2181.8646790744147,1259,Stable,12,706.5690843478731
1251662,2022-03-05T07:25:00Z,POINT (-4120.492098649398 7251.301402987232),814,AtRestaurant,Starving,Awake,1685.0,1633.9156565708734,1042,Stable,16,509.76171341064
1251671,2022-03-05T07:25:00Z,POINT (-3925.921160511028 5492.771154206679),824,AtRestaurant,Hungry,Awake,,2130.34997964957,1026,Unstable,20,0.0
1251677,2022-03-05T07:25:00Z,POINT (-1532.705440914673 3809.5483085249093),833,AtRecreation,JustAte,Awake,552.0,1059.391764421509,236,Stable,12,260.5735934232293
1251695,2022-03-05T07:25:00Z,POINT (-3942.7797281797416 5499.95539159706),857,AtRestaurant,Hungry,Awake,1393.0,1286.633074126334,1065,Stable,20,663.2334128834399
1251723,2022-03-05T07:25:00Z,POINT (-3914.878722930189 5502.791552276667),897,AtRestaurant,Starving,Awake,,2485.983001299058,1084,Unstable,16,0.0
1251800,2022-03-05T07:25:00Z,POINT (-1617.5403314479058 3884.86424620785),984,AtRestaurant,Starving,Awake,791.0,1079.871173177012,638,Stable,20,399.47297724078345
1251843,2022-03-05T07:30:00Z,POINT (1408.4087301812904 4004.9112933374017),16,AtRestaurant,Starving,Awake,101.0,3574.659454557584,297,Stable,16,1402.5387351040204
1251868,2022-03-05T07:30:00Z,POINT (1417.6935332842122 3995.7847700049533),41,AtRestaurant,Starving,Awake,245.0,989.3181244945996,54,Stable,20,371.9247182373828
1251876,2022-03-05T07:30:00Z,POINT (-264.2684773705236 5038.509810966253),50,AtRecreation,BecomingHungry,Awake,279.0,1318.2678321702963,112,Stable,16,619.115101298609
1251877,2022-03-05T07:30:00Z,POINT (-255.28882339637516 5034.09148881612),51,AtRecreation,BecameFull,Awake,90.0,3879.060000951819,24,Stable,16,1839.1177446647685
1251880,2022-03-05T07:30:00Z,POINT (685.6409253404456 4394.018570444203),54,AtRestaurant,Hungry,Awake,196.0,1755.1244361923452,71,Stable,20,1746.7955376714772
1251945,2022-03-05T07:30:00Z,POINT (416.7061470037964 1197.5713765368866),119,AtRestaurant,Starving,Awake,368.0,4014.353713995039,248,Stable,16,1374.3586133067952
1251965,2022-03-05T07:30:00Z,POINT (-3902.647816920572 5962.640264298621),140,AtRecreation,JustAte,Awake,1036.0,3396.7247898363967,839,Stable,12,1427.059571549808
1251974,2022-03-05T07:30:00Z,POINT (-262.6907671101137 5030.280857946824),150,AtRecreation,JustAte,Awake,1129.0,3314.9557382893486,434,Stable,12,1313.023083903635
1252023,2022-03-05T07:30:00Z,POINT (488.712201352599 1619.0847778624388),201,AtRestaurant,Starving,Awake,135.0,2248.7102318768925,925,Stable,12,747.6472764241809
1252042,2022-03-05T07:30:00Z,POINT (497.60352629769136 1630.607555568836),220,AtRestaurant,Starving,Awake,181.0,2846.2215467946185,99,Stable,20,1544.074098961836
1252161,2022-03-05T07:30:00Z,POINT (-1162.1612869888525 4722.781546628167),346,AtRestaurant,Starving,Awake,,2060.1751936999567,1162,Unstable,20,0.0
1252219,2022-03-05T07:30:00Z,POINT (-2003.778700078473 3359.5230209666433),411,AtRestaurant,Hungry,Awake,705.0,1113.2419918636635,620,Stable,16,321.21781693189297
1252230,2022-03-05T07:30:00Z,POINT (-2001.9978966745693 3367.7660470314186),422,AtRestaurant,Starving,Awake,524.0,2703.746264813616,531,Stable,16,708.9455576864685
1252274,2022-03-05T07:30:00Z,POINT (-1170.5886818333724 5842.894643915793),466,AtRestaurant,Hungry,Awake,1120.0,1801.8681407598488,883,Stable,12,526.6066209946474
1252280,2022-03-05T07:30:00Z,POINT (-240.8060240066926 3874.552073855629),472,AtRecreation,JustAte,Awake,590.0,2833.177896705303,457,Stable,20,968.0507552930594
1252288,2022-03-05T07:30:00Z,POINT (-3142.1141331140216 6660.16446960287),480,AtRestaurant,Starving,Awake,1194.0,2207.799315820171,1060,Stable,12,576.1443872613024
1252352,2022-03-05T07:30:00Z,POINT (-832.3139227326761 4494.186167629123),550,AtRestaurant,Starving,Awake,942.0,740.4327805783487,977,Stable,16,248.44412882435483
1252392,2022-03-05T07:30:00Z,POINT (-1165.7833718144673 5857.2639570313995),599,AtRestaurant,Starving,Awake,,2632.543322743873,731,Unstable,20,0.0
1252431,2022-03-05T07:30:00Z,POINT (-4132.209627920011 7247.938516031471),649,AtRestaurant,Starving,Awake,1499.0,1109.6692107332376,1070,Stable,12,320.4409187094606
1252450,2022-03-05T07:30:00Z,POINT (-245.84054255641067 5029.408924152119),675,AtRecreation,JustAte,Awake,1249.0,1404.6425147373425,967,Stable,16,303.1366265480617
1252455,2022-03-05T07:30:00Z,POINT (-3199.6376087913386 6476.859272154482),680,AtRecreation,JustAte,Awake,1541.0,1480.6585980884065,310,Stable,12,335.430175876957
1252499,2022-03-05T07:30:00Z,POINT (-3927.8812466218415 5485.62866315695),724,AtRestaurant,Starving,Awake,1675.0,1749.138112201865,1288,Stable,12,362.8209311900876
1252511,2022-03-05T07:30:00Z,POINT (-3920.4632496407226 5505.735423863976),736,AtRestaurant,Starving,Awake,1481.0,1656.5065999783394,1253,Stable,12,415.88582009191015
1252528,2022-03-05T07:30:00Z,POINT (-1190.277818933543 5845.832028939101),753,AtRestaurant,Starving,Awake,1223.0,2095.886082020322,901,Stable,16,555.8829297458485
